搜索城市,搜索词,名称,地址,点评数量,详情url
南京,酒店,南京汉府饭店,江苏省南京市玄武区长江路262号(大行宫地铁站6号口步行360米),,https://map.qq.com/poi/?sm=4992973791995137645&keyfrom=1
南京,酒店,南京商茂国际酒店,江苏省南京市秦淮区中山南路49号商茂世纪广场43楼,,https://map.qq.com/poi/?sm=15593510254732105524&keyfrom=1
南京,酒店,南京金丝利喜来登酒店,江苏省南京市秦淮区汉中路169号,,https://map.qq.com/poi/?sm=10265074731770132387&keyfrom=1
南京,酒店,南京索菲特银河大酒店,"江苏省南京市鼓楼区山西路9号银河大厦1-16层, 30-48层",,https://map.qq.com/poi/?sm=718288995307736488&keyfrom=1
南京,酒店,罗莱夏朵酒店,江苏省南京市鼓楼区玄武湖南路江苏路3号,,https://map.qq.com/poi/?sm=2238948230715895901&keyfrom=1
南京,酒店,南京瑞华酒店(晓庄地铁站店),江苏省南京市栖霞区幕府东路339号(近人民日报社),,https://map.qq.com/poi/?sm=13374409669746250157&keyfrom=1
南京,酒店,南京维元国际酒店,江苏省南京市玄武区中山东路147号大行宫大厦1层,,https://map.qq.com/poi/?sm=13398365818549253688&keyfrom=1
南京,酒店,格林豪泰智选酒店(南京夫子庙常府街地铁站店),江苏省南京市秦淮区太平南路娃娃桥6-1号,,https://map.qq.com/poi/?sm=11984340073274323527&keyfrom=1
南京,酒店,锦江之星酒店(南京新街口店),江苏省南京市秦淮区中山南路219号(地铁1号线张府园站2号口北200米),,https://map.qq.com/poi/?sm=4569634353775672452&keyfrom=1
南京,酒店,锦江之星酒店(南京省中医院朝天宫西街店),江苏省南京市秦淮区朝天宫西街黄鹂新村8幢,,https://map.qq.com/poi/?sm=13772365100048727807&keyfrom=1
南京,酒店,年发168酒店(珠江路店),"江苏省南京市玄武区珠江路667号(近黄埔路与珠江路交叉口,东部战区总医院)",,https://map.qq.com/poi/?sm=13246930646219822298&keyfrom=1
南京,酒店,东宫大酒店(中山东路店),江苏省南京市玄武区中山东路311-1号(明故宫遗址公园旁),,https://map.qq.com/poi/?sm=10370553586159237955&keyfrom=1
南京,酒店,书香世家酒店(南京新街口德基广场店)(原管家桥店),"江苏省南京市鼓楼区管家桥65号新华大厦1,6,11-15层",,https://map.qq.com/poi/?sm=18289111730292456019&keyfrom=1
南京,酒店,南京山水大酒店,江苏省南京市玄武区龙蟠中路118号,,https://map.qq.com/poi/?sm=7646149239587603566&keyfrom=1
南京,酒店,曙光国际大酒店,江苏省南京市玄武区龙蟠路107号,,https://map.qq.com/poi/?sm=6352359427537059032&keyfrom=1
南京,酒店,The Tai太和紫金大酒店,"江苏省南京市玄武区太平北路37号近浮桥地铁站距离总统府200米,",,https://map.qq.com/poi/?sm=4212052559587582069&keyfrom=1
南京,酒店,南山专家楼酒店,"江苏省南京市鼓楼区宁海路122号,近南师大随园校区3号门",,https://map.qq.com/poi/?sm=16918601202941255201&keyfrom=1
南京,酒店,南京怡华酒店,江苏省南京市鼓楼区中山北路45号,,https://map.qq.com/poi/?sm=2151153046504162771&keyfrom=1
南京,酒店,古都饭店(富建城市酒店南),江苏省南京市玄武区中央路278号(地铁1号线新模范马路站2号口出北行210米),,https://map.qq.com/poi/?sm=1813276923205177335&keyfrom=1
南京,酒店,孜图酒店(南京明故宫店),江苏省南京市秦淮区瑞金路52号(近南京航空航天大学明故宫校区),,https://map.qq.com/poi/?sm=4049845361825544692&keyfrom=1
南京,酒店,宜必思酒店(夫子庙店),江苏省南京市秦淮区中华路1号,,https://map.qq.com/poi/?sm=16275894637106623531&keyfrom=1
南京,酒店,南京富建城市酒店,江苏省南京市玄武区中央路278-1号,,https://map.qq.com/poi/?sm=12994019967932506447&keyfrom=1
南京,酒店,丁山花园大酒店(金城路分店),江苏省南京市鼓楼区察哈尔路90号7号楼,,https://map.qq.com/poi/?sm=621607589350264598&keyfrom=1
南京,酒店,东郊国宾馆(紫金山店),江苏省南京市玄武区紫金山路5号,,https://map.qq.com/poi/?sm=11357050170069072584&keyfrom=1
南京,酒店,桔子酒店(南京博物院明故宫地铁站酒店),江苏省南京市秦淮区中山东路532号(明故宫地铁站1号口步行280米),,https://map.qq.com/poi/?sm=15264179154780963817&keyfrom=1
南京,酒店,江苏辰茂新世纪大酒店,江苏省南京市玄武区龙蟠路133号(近火车站南广场),,https://map.qq.com/poi/?sm=18188126797108119533&keyfrom=1
南京,酒店,钟山宾馆,江苏省南京市玄武区中山东路307号,,https://map.qq.com/poi/?sm=3913776948652851350&keyfrom=1
南京,酒店,南京新街口苏宁诺富特酒店,江苏省南京市秦淮区淮海路68号苏宁生活广场(新街口店)1层,,https://map.qq.com/poi/?sm=2736202279002275664&keyfrom=1
南京,酒店,未来域公寓(南京所街店),江苏省南京市建邺区所街29号,,https://map.qq.com/poi/?sm=8872188509586754622&keyfrom=1
