搜索城市,搜索词,名称,地址,点评数量,详情url
南京,美食,香格里拉大酒店江南灶中餐厅(玄武中央路店),江苏省南京市鼓楼区中央路329号香格里拉5层(新模范马路口),16条点评,https://map.qq.com/poi/?sm=6051591021045872049&keyfrom=1
南京,美食,调鼎居淮扬菜馆,江苏省南京市秦淮区石鼓路218号(汉中门地铁站4号口步行440米),15条点评,https://map.qq.com/poi/?sm=10216180610119298204&keyfrom=1
南京,美食,萨莉亚意式餐厅(环亚广场汉中店),江苏省南京市秦淮区汉中路139-3临环亚广场(汉中店)F2,15条点评,https://map.qq.com/poi/?sm=1019051681730006875&keyfrom=1
南京,美食,全聚德烤鸭店(新街口店),江苏省南京市秦淮区王府大街8号测绘大厦4楼,15条点评,https://map.qq.com/poi/?sm=6284913583626332539&keyfrom=1
南京,美食,乐和餐饮(中央路店),江苏省南京市鼓楼区中央路399号5幢302室,15条点评,https://map.qq.com/poi/?sm=4867253768665427324&keyfrom=1
南京,美食,blue frog蓝蛙(艾尚天地店),江苏省南京市玄武区中山路100号艾尚天地F1,15条点评,https://map.qq.com/poi/?sm=2859516407773776225&keyfrom=1
南京,美食,馨方园食府(南京总店),江苏省南京市秦淮区堂子街57号108室,15条点评,https://map.qq.com/poi/?sm=2090988411116673877&keyfrom=1
南京,美食,无印良品(东方福来德店),江苏省南京市秦淮区中山南路2号东方福来德F1,15条点评,https://map.qq.com/poi/?sm=8278617028273255068&keyfrom=1
南京,美食,南京大排档(中山陵店),江苏省南京市玄武区中山门大街9号,19条点评,https://map.qq.com/poi/?sm=15213557966058133058&keyfrom=1
南京,美食,金陵杨家馄饨店(曹都巷总店),江苏省南京市秦淮区曹都巷1-3号曹都巷小区,15条点评,https://map.qq.com/poi/?sm=3775365017463413501&keyfrom=1
南京,美食,莲湖糕团店(贡院西街店),江苏省南京市秦淮区贡院西街26号东牌楼,15条点评,https://map.qq.com/poi/?sm=774703118848686815&keyfrom=1
南京,美食,德天肥牛海鲜火锅(王府大街店),江苏省南京市秦淮区王府大街90号(南京市检察院旁),15条点评,https://map.qq.com/poi/?sm=4667990017598731638&keyfrom=1
南京,美食,江宴渔村,江苏省南京市秦淮区弓箭坊40号一楼二楼(三山街站1号出口),15条点评,https://map.qq.com/poi/?sm=14744031772645646048&keyfrom=1
南京,美食,易记皮肚面(明瓦廊店),江苏省南京市秦淮区,15条点评,https://map.qq.com/poi/?sm=12396597984196969089&keyfrom=1
南京,美食,清真·西来顺牛肉拉面食府(小卫街店),江苏省南京市玄武区中山门大街南京理工大学3号门对面,17条点评,https://map.qq.com/poi/?sm=6103489317716926322&keyfrom=1
南京,美食,小厨娘淮扬菜(机场宾馆店),江苏省南京市秦淮区龙蟠中路451号2-3楼,14条点评,https://map.qq.com/poi/?sm=9710702085397228452&keyfrom=1
南京,美食,小李汤包(殷高巷店),江苏省南京市秦淮区殷高巷30号(近集庆路),17条点评,https://map.qq.com/poi/?sm=16400822000049678802&keyfrom=1
南京,美食,阿拉丁新疆风味餐厅·清真(罗廊巷店),"江苏省南京市秦淮区汉中路罗廊巷43号(金丝利国际大厦后门,近上海路地铁站)",15条点评,https://map.qq.com/poi/?sm=14050287864851780377&keyfrom=1
南京,美食,本家韩国料理(金轮大厦店),江苏省南京市鼓楼区汉中路108号金轮大厦负2层(电梯按B1层),15条点评,https://map.qq.com/poi/?sm=8819994265189778109&keyfrom=1
南京,美食,罗子龙罗家桂花汤圆(曹都巷店),江苏省南京市秦淮区朝天宫街道曹都巷18号(曹都巷小区沿街商铺),15条点评,https://map.qq.com/poi/?sm=448804865909322061&keyfrom=1
南京,美食,海底捞火锅(龙园西路店),江苏省南京市鼓楼区龙园西路58号黄河大厦2层,,https://map.qq.com/poi/?sm=15503994019109389028&keyfrom=1
南京,美食,老头爱马仕酸豇豆炒饭(丰富路店),江苏省南京市秦淮区丰富路103号(石榴园沿街商铺),15条点评,https://map.qq.com/poi/?sm=7413667911617661054&keyfrom=1
南京,美食,同庆楼(三乐·八号公馆店),江苏省南京市鼓楼区老菜市8号,15条点评,https://map.qq.com/poi/?sm=6451183156810338899&keyfrom=1
南京,美食,许阿姨糕团店,江苏省南京市秦淮区普华巷1号,15条点评,https://map.qq.com/poi/?sm=9714601372030318740&keyfrom=1
南京,美食,章云板鸭(评事街店),江苏省南京市秦淮区评事街208号(张府园地铁站4号口步行440米),15条点评,https://map.qq.com/poi/?sm=11373099561779684688&keyfrom=1
南京,美食,蒋有记·清真(老门东店),江苏省南京市秦淮区三条营49-3号(老门东内),15条点评,https://map.qq.com/poi/?sm=14765205677604886070&keyfrom=1
南京,美食,尹氏汤包(朝天宫店),江苏省南京市秦淮区朝天宫西街61号(中兴新村),15条点评,https://map.qq.com/poi/?sm=6186998421240623822&keyfrom=1
南京,美食,红公馆中餐厅,江苏省南京市秦淮区剪子巷58号,15条点评,https://map.qq.com/poi/?sm=1764966134040643636&keyfrom=1
南京,美食,金哥私家菜馆(建邺路总店),江苏省南京市秦淮区朝天宫街道绒庄街内桥湾74号(建邺路苏果超市对面),15条点评,https://map.qq.com/poi/?sm=13594668268269420835&keyfrom=1
南京,美食,辣当家时尚精品餐厅,江苏省南京市秦淮区瑞阳街18号,15条点评,https://map.qq.com/poi/?sm=15725631257153246921&keyfrom=1
南京,美食,中华门黑皮砂锅(中华路店),江苏省南京市秦淮区中华路556号,15条点评,https://map.qq.com/poi/?sm=15367487482460233131&keyfrom=1
